Model,Job,Interval,Price
911 (992),Minor Service,20k miles / 2 years,£345
911 (992),Major Service,40k miles / 4 years,£465
911 (992),Spark Plugs,40k miles / 4 years,£225
911 (992),Air Filter,"24k / 4y, 40k / 4y, 60k / 6y",POA
911 (992),Aux Belt,"48k / 4y, 60k / 6y",POA
911 (992),Brake Fluid Change,Every 2 years,£75
911 (992) - 992 Turbo / Turbo S (2020–2022),Minor Service,20k miles / 2 years,£345
911 (992) - 992 Turbo / Turbo S (2020–2022),Major Service,40k miles / 4 years,£465
911 (992) - 992 Turbo / Turbo S (2020–2022),Spark Plugs,40k miles / 4 years,£360
911 (992) - 992 Turbo / Turbo S (2020–2022),Brake Fluid Change,Every 2 years,£75
911 (992) - 992 GT3 / GT3 RS (2021–2022),Minor Service,20k miles / 2 years,£345
911 (992) - 992 GT3 / GT3 RS (2021–2022),Major Service,40k miles / 4 years,£465
911 (992) - 992 GT3 / GT3 RS (2021–2022),Spark Plugs,40k miles / 4 years,£255
911 (992) - 992 GT3 / GT3 RS (2021–2022),Brake Fluid Change,Every 2 years,£75
911 (991),Minor Service,Every 2 years,£395
911 (991),Major Service,Every 4 years,£470
911 (991),Spark Plugs,40k miles / 4 years,£295
911 (991),Air Filter,"24k / 4y, 40k / 4y, 60k / 6y",POA
911 (991),Aux Belt,"48k / 4y, 60k / 6y",POA
911 (991),Brake Fluid Change,Every 2 years,£75 / £95
911 (997),Minor Service,Every 2 years,£350
911 (997),Major Service,Every 4 years,£440
911 (997),Spark Plugs,60k miles / 4 years,£225
911 (997),Air Filter,—,POA
911 (997),Aux Belt,60k / 6y,£135
911 (997),Manual Gearbox Oil,120k miles / 12 years,£95
911 (997),Tip Gearbox Oil,—,£315
911 (997),Brake Fluid Change,Every 2 years,£95
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Minor Service,Every 2 years,£370
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Major Service (includes plugs & filters),Every 4 years,£895
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Aux Belt,—,£175
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Manual Gearbox Oil,—,£95
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Tip Gearbox Oil,—,£315
911 (997) - 997 Turbo / GT2 (Gen 1) (2005–2008),Brake Fluid Change,Every 2 years,£95
911 (996),Air Filter,,£52
911 (996),Aux Belt,,£149
911 (996),Brake Fluid Change,,£95
Boxster 718 (2017–2022),Minor Service,20k miles / 2 years,£395
Boxster 718 (2017–2022),Major Service,40k miles / 4 years,£470
